,ts_code,symbol,name,area,industry,abbreviation,list_date
4352,605186.SH,605186,健麾信息,上海,医疗保健,jhxx,20201222
4353,605188.SH,605188,国光连锁,江西,超市连锁,ggls,20200728
4354,605189.SH,605189,富春染织,安徽,纺织,fcrz,20210528
4355,605196.SH,605196,华通线缆,河北,电气设备,htxl,20210511
4356,605198.SH,605198,安德利,山东,软饮料,adl,20200918
4357,605199.SH,605199,葫芦娃,海南,中成药,hlw,20200710
4358,605208.SH,605208,永茂泰,上海,铝,ymt,20210308
4359,605218.SH,605218,伟时电子,江苏,元器件,wsdz,20200928
4360,605222.SH,605222,起帆电缆,上海,电气设备,qfdl,20200731
4361,605228.SH,605228,神通科技,浙江,汽车配件,stkj,20210120
4362,605255.SH,605255,天普股份,浙江,汽车配件,tpgf,20200825
4363,605258.SH,605258,协和电子,江苏,元器件,xhdz,20201203
4364,605259.SH,605259,绿田机械,浙江,农用机械,ltjx,20210615
4365,605266.SH,605266,健之佳,云南,医药商业,jzj,20201201
4366,605268.SH,605268,王力安防,浙江,家居用品,wlaf,20210224
4367,605277.SH,605277,新亚电子,浙江,元器件,xydz,20210106
4368,605286.SH,605286,同力日升,江苏,运输设备,tlrs,20210322
4369,605287.SH,605287,德才股份,山东,装修装饰,dcgf,20210706
4370,605288.SH,605288,凯迪股份,江苏,电气设备,kdgf,20200601
4371,605289.SH,605289,罗曼股份,上海,建筑工程,lmgf,20210426
4372,605296.SH,605296,神农集团,云南,农业综合,snjt,20210528
4373,605298.SH,605298,必得科技,江苏,运输设备,bdkj,20210301
4374,605299.SH,605299,舒华体育,福建,文教休闲,shty,20201215
4375,605300.SH,605300,佳禾食品,江苏,乳制品,jhsp,20210430
4376,605303.SH,605303,园林股份,浙江,建筑工程,ylgf,20210301
4377,605305.SH,605305,中际联合,北京,专用机械,zjlh,20210506
4378,605318.SH,605318,法狮龙,浙江,其他建材,fsl,20200803
4379,605319.SH,605319,无锡振华,江苏,汽车配件,wxzh,20210607
4380,605333.SH,605333,沪光股份,江苏,汽车配件,hggf,20200818
4381,605336.SH,605336,帅丰电器,浙江,家用电器,sfdq,20201019
4382,605337.SH,605337,李子园,浙江,乳制品,lzy,20210208
4383,605338.SH,605338,巴比食品,上海,食品,bbsp,20201012
4384,605339.SH,605339,南侨食品,上海,食品,nqsp,20210518
4385,605358.SH,605358,立昂微,浙江,半导体,law,20200911
4386,605365.SH,605365,立达信,福建,家用电器,ldx,20210720
4387,605366.SH,605366,宏柏新材,江西,化工原料,hbxc,20200812
4388,605368.SH,605368,蓝天燃气,河南,供气供热,ltrq,20210129
4389,605369.SH,605369,拱东医疗,浙江,医疗保健,gdyl,20200916
4390,605376.SH,605376,博迁新材,江苏,小金属,bqxc,20201208
4391,605377.SH,605377,华旺科技,浙江,造纸,hwkj,20201228
4392,605378.SH,605378,野马电池,浙江,电气设备,ymdc,20210412
4393,605388.SH,605388,均瑶健康,湖北,乳制品,jyjk,20200818
4394,605389.SH,605389,长龄液压,江苏,机械基件,clyy,20210322
4395,605398.SH,605398,新炬网络,上海,软件服务,xjwl,20210121
4396,605399.SH,605399,晨光新材,江西,化工原料,cgxc,20200804
4397,605488.SH,605488,福莱新材,浙江,塑料,flxc,20210513
4398,605499.SH,605499,东鹏饮料,深圳,软饮料,dpyl,20210527
4399,605500.SH,605500,森林包装,浙江,造纸,slbz,20201222
4400,605507.SH,605507,国邦医药,浙江,化学制药,gbyy,20210802
4401,605555.SH,605555,德昌股份,浙江,家用电器,dcgf,20211021
4402,605566.SH,605566,福莱蒽特,浙江,染料涂料,flet,20211025
4403,605567.SH,605567,春雪食品,山东,食品,cxsp,20211013
4404,605577.SH,605577,龙版传媒,黑龙江,出版业,lbcm,20210824
4405,605580.SH,605580,恒盛能源,浙江,供气供热,hsny,20210819
4406,605588.SH,605588,冠石科技,江苏,半导体,gskj,20210812
4407,605589.SH,605589,圣泉集团,山东,化工原料,sqjt,20210810
4408,605598.SH,605598,上海港湾,上海,建筑工程,shgw,20210917
4409,605599.SH,605599,菜百股份,北京,黄金,cbgf,20210909
4410,688001.SH,688001,华兴源创,江苏,专用机械,hxyc,20190722
4411,688002.SH,688002,睿创微纳,山东,通信设备,rcwn,20190722
4412,688003.SH,688003,天准科技,江苏,专用机械,tzkj,20190722
4413,688004.SH,688004,博汇科技,北京,软件服务,bhkj,20200612
4414,688005.SH,688005,容百科技,浙江,电气设备,rbkj,20190722
4415,688006.SH,688006,杭可科技,浙江,电气设备,hkkj,20190722
