,index_code,display_name,publish_date
152,000804,500波动,2012-01-09
153,000805,A股资源,2012-01-06
154,000806,消费服务,2012-02-10
155,000807,食品饮料,2012-02-17
156,000808,医药生物,2012-02-17
157,000810,细分能源,2012-04-11
158,000811,细分有色,2012-04-11
159,000812,细分机械,2012-04-11
160,000813,细分化工,2012-04-11
161,000814,细分医药,2012-04-11
162,000815,细分食品,2012-04-11
163,000816,细分地产,2012-04-11
164,000818,细分金融,2012-04-11
165,000819,有色金属,2012-05-09
166,000820,煤炭指数,2012-05-09
167,000821,300红利,2012-07-20
168,000822,500红利,2012-07-20
169,000823,中证800有色金属指数,2012-12-21
170,000824,国企红利,2012-07-20
171,000825,央企红利,2012-07-20
172,000826,民企红利,2012-07-20
173,000827,中证环保,2012-09-25
174,000828,300高贝,2012-08-06
175,000829,300低贝,2012-08-06
176,000830,500高贝,2012-08-06
177,000831,500低贝,2012-08-06
178,000832,中证转债,2012-09-12
179,000838,创业价值,2012-09-26
180,000839,浙企综指,2012-11-09
181,000840,浙江民企,2012-11-09
182,000841,800医药,2012-12-21
183,000842,800等权,2012-12-21
184,000843,300动态,2013-01-07
185,000844,300稳定,2013-01-07
186,000846,ESG100,2012-10-16
187,000847,中证腾安价值100指数,2013-11-18
188,000849,沪深300非银行金融指数,2012-12-21
189,000851,中证百度百发策略100指数,2014-07-30
190,000852,中证1000指数,2014-10-17
191,000853,中证申万一带一路主题投资指数,2015-04-23
192,000854,500原料,2013-11-06
193,000855,央视财经500指数,2014-11-03
194,000856,500工业,2013-11-06
195,000857,500医药,2013-11-06
196,000858,500信息,2013-11-06
197,000891,中国战略新兴产业综合指数,2017-01-25
198,000901,小康指数,2010-04-01
199,000902,中证流通,2006-02-27
200,000903,中证100,2006-05-29
201,000904,中证200,2007-01-15
202,000905,中证500,2007-01-15
203,000906,中证800,2007-01-15
204,000907,中证700,2007-01-15
205,000908,300能源,2007-07-02
206,000909,300材料,2007-07-02
207,000910,300工业,2007-07-02
208,000911,300可选,2007-07-02
209,000912,300消费,2007-07-02
210,000913,300医药,2007-07-02
211,000914,300金融,2007-07-02
212,000915,300信息,2007-07-02
213,000916,300电信,2007-07-02
214,000917,300公用,2007-07-02
215,000918,300成长,2008-01-21
216,000919,300价值,2008-01-21
217,000920,300R成长,2008-01-21
218,000921,300R价值,2008-01-21
219,000922,中证红利,2008-05-26
220,000923,公司债,2008-11-19
221,000925,基本面50,2009-02-26
222,000926,中证央企,2009-03-30
223,000927,央企100,2009-03-30
224,000928,中证能源,2009-07-03
225,000929,中证材料,2009-07-03
226,000930,中证工业,2009-07-03
227,000931,中证可选,2009-07-03
228,000932,中证消费,2009-07-03
229,000933,中证医药,2009-07-03
230,000934,中证金融,2009-07-03
231,000935,中证信息,2009-07-03
232,000936,中证电信,2009-07-03
233,000937,中证公用,2009-07-03
234,000938,中证民企,2009-08-25
235,000940,财富大盘,2009-09-25
236,000941,新能源,2009-10-28
237,000942,内地消费,2009-10-28
238,000943,内地基建,2009-10-28
239,000944,内地资源,2009-10-28
240,000945,内地运输,2009-10-28
241,000947,内地银行,2009-10-28
242,000948,内地地产,2009-10-28
243,000949,内地农业,2009-10-28
244,000950,300基建,2009-10-28
245,000951,300银行,2009-10-28
246,000952,300地产,2009-10-28
247,000953,中证地企,2010-02-09
248,000954,地企100,2010-02-09
249,000955,中证国企,2010-02-09
250,000956,国企200,2010-02-09
251,000957,300运输,2009-06-16
252,000958,创业成长,2010-03-24
253,000959,银河99,2010-02-09
254,000961,中证上游,2010-04-16
255,000962,中证中游,2010-04-16
256,000963,中证下游,2010-04-16
257,000964,中证新兴,2010-04-30
258,000965,基本200,2010-06-02
259,000966,基本400,2010-06-02
260,000967,基本600,2010-06-02
261,000968,300周期,2010-05-28
262,000969,300非周,2010-05-28
263,000970,ESG40,2010-09-17
264,000971,等权90,2010-12-02
265,000972,300沪市,2010-12-02
266,000974,中证800金融指数,2013-05-09
267,000975,钱江30,2014-01-02
268,000977,内地低碳,2011-01-21
269,000978,医药100,2011-03-18
270,000979,大宗商品,2011-08-22
271,000980,中证超大,2011-05-10
272,000981,300分层,2011-06-13
273,000982,500等权,2011-06-13
274,000984,300等权,2011-08-02
275,000985,中证全指,2011-08-02
276,000986,全指能源,2011-08-02
277,000987,全指材料,2011-08-02
278,000988,全指工业,2011-08-02
279,000989,全指可选,2011-08-02
280,000990,全指消费,2011-08-02
281,000991,全指医药,2011-08-02
282,000992,全指金融,2011-08-02
283,000993,全指信息,2011-08-02
284,000994,全指电信,2011-08-02
285,000995,全指公用,2011-08-02
286,000998,中证TMT,2011-11-08
287,399001,深证成指,1995-01-23
288,399002,深成指R,1995-01-23
289,399003,成份B指,1995-01-23
290,399004,深证100R,2003-01-02
291,399005,中小100,2006-01-24
292,399006,创业板指,2010-06-01
293,399007,深证300,2009-11-04
294,399008,中小300,2010-03-22
295,399009,深证200,2011-09-01
296,399010,深证700,2011-09-01
297,399011,深证1000,2011-09-01
298,399012,创业300,2013-01-07
299,399013,深市精选,2014-05-30
300,399015,深证中小创新指数,2015-03-24
301,399016,深证创新指数,2016-12-01
302,399017,SME创新,2016-12-01
303,399018,创业板创新指数,2016-12-01
304,399030,碳科技30,2021-09-27
305,399050,创新引擎,2018-07-31
306,399060,碳科技60,2021-09-27
307,399088,深创100,2020-02-18
308,399100,新指数,2006-02-16
309,399101,中小综指,2005-12-01
310,399102,创业板综合指数,2010-08-20
311,399103,乐富指数,2011-12-02
312,399106,深证综指,1991-04-04
313,399107,深证A指,1992-10-04
314,399108,深证B指,1992-10-06
315,399231,农林指数,2013-03-04
316,399232,采矿指数,2013-03-04
317,399233,制造指数,2013-03-04
318,399234,水电指数,2013-03-04
319,399235,建筑指数,2013-03-04
320,399236,批零指数,2013-03-04
321,399237,运输指数,2013-03-04
322,399238,餐饮指数,2013-03-04
323,399239,IT指数,2013-03-04
324,399240,金融指数,2013-03-04
325,399241,地产指数,2013-03-04
326,399242,商务指数,2013-03-04
327,399243,科研指数,2013-03-04
328,399244,公共指数,2013-03-04
329,399248,文化指数,2013-03-04
330,399249,综企指数,2013-03-04
331,399269,创质量,2021-01-12
332,399274,深新基建,2022-04-11
333,399275,创医药,2020-10-26
334,399276,创科技,2020-10-26
335,399277,公共健康,2020-05-08
336,399278,长江100,2020-05-08
337,399279,云科技50,2020-05-08
338,399280,生物50,2020-05-08
